0	1
1	0
2	0
3	0
4	0
5	0
6	2
7	14
8	92
9	470
10	2159
11	8942
12	33255
13	113039
14	346405
15	968344
16	2481888
17	5839865
18	12653375
19	25305504
20	46827172
21	80287516
22	127713880
23	188798844
24	259583220
25	332219736
26	396152342
27	440191436
28	455871482
29	440197410
30	396197478
31	332249008
32	259573773
33	188789590
34	127701918
35	80267984
36	46821316
37	25314796
38	12659342
39	5838982
40	2483576
41	970618
42	345627
43	112342
44	33207
45	8775
46	2061
47	424
48	74
49	9
50	3
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
